测试套/软件包名,测试用例名,状态,日志文件,原因,负责人
ntfs-3g,oe_test_ntfs-3g_ntfsmove,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfsmove/2023-04-28-00:11:42.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfsls,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfsls/2023-04-28-00:03:08.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_lowntfs-3g_01,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_lowntfs-3g_01/2023-04-28-00:25:45.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfsfallocate,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfsfallocate/2023-04-28-00:32:36.log,x86 fail,
smoke-iSulad,oe_test_iSula_exec_cmd_001,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/smoke-iSulad/oe_test_iSula_exec_cmd_001/2023-04-29-00:07:44.log,x86 fail,
AT,oe_test_iSula_create_start_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_create_start_001/2023-04-29-02:20:38.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_search_info_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_search_info_001/2023-04-29-02:24:46.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_pause_resume_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_pause_resume_001/2023-04-29-02:32:56.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_mkdir100_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_mkdir100_001/2023-04-29-02:30:51.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_restart_stop_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_restart_stop_001/2023-04-29-02:22:41.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_query_state_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_query_state_001/2023-04-29-02:12:18.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_attach_rename_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_attach_rename_001/2023-04-29-02:14:25.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_export_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_export_001/2023-04-29-02:16:30.log,docker镜像地址错误,黄烁
AT,oe_test_iSula_cp_001,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/AT/oe_test_iSula_cp_001/2023-04-29-02:18:34.log,docker镜像地址错误,黄烁
udisks2,oe_test_service_udisks2,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/udisks2/oe_test_service_udisks2/2023-04-27-04:42:18.log,Failed to load module: /usr/lib64/gio/modules/libgvfsdbus.so,黄烁
psacct,oe_test_psacct,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/psacct/oe_test_psacct/2023-04-26-20:13:03.log,systemd启动失败，原因未知,黄烁
psacct,oe_test_service_psacct,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/psacct/oe_test_service_psacct/2023-04-26-20:15:06.log,systemd启动失败，原因未知,黄烁
ruby,oe_test_rdoc_01,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ruby/oe_test_rdoc_01/2023-04-27-00:58:53.log,x86 fail,
ruby,oe_test_ruby,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ruby/oe_test_ruby/2023-04-27-01:07:05.log,x86 fail,
ruby,oe_test_irb_01,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ruby/oe_test_irb_01/2023-04-27-00:45:49.log,x86 fail,
ruby,oe_test_erb,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ruby/oe_test_erb/2023-04-27-00:41:50.log,x86 fail,
ruby,oe_test_irb_03,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ruby/oe_test_irb_03/2023-04-27-00:49:53.log,x86 fail,
open-iscsi,oe_test_socket_iscsiuio,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/open-iscsi/oe_test_socket_iscsiuio/2023-04-26-13:46:41.log,x86 fail,
open-iscsi,oe_test_open-iscsi_iscsiadm,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/open-iscsi/oe_test_open-iscsi_iscsiadm/2023-04-26-12:17:21.log,x86 fail,
open-iscsi,oe_test_open-iscsi_iscsistart_iscsiuio,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/open-iscsi/oe_test_open-iscsi_iscsistart_iscsiuio/2023-04-26-12:19:19.log,x86 fail,
open-iscsi,oe_test_service_iscsiuio,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/open-iscsi/oe_test_service_iscsiuio/2023-04-26-12:54:29.log,x86 fail,
open-iscsi,oe_test_service_iscsid,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/open-iscsi/oe_test_service_iscsid/2023-04-26-12:21:15.log,systemd unit restart failure/systemd unit runtime error/systemd unit enable failure,
nftables,oe_test_nftables_listen_package,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_listen_package/2023-04-26-11:37:08.log,x86 fail,
nftables,oe_test_nftables_chains,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_chains/2023-04-26-11:38:57.log,x86 fail,
nftables,oe_test_nftables_create_counters,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_create_counters/2023-04-26-11:34:22.log,x86 fail,
nftables,oe_test_nftables_replace_counters,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_replace_counters/2023-04-26-11:41:08.log,x86 fail,
nftables,oe_test_nftables_name_sets,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_name_sets/2023-04-26-11:37:59.log,x86 fail,
nftables,oe_test_service_nftables,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_service_nftables/2023-04-26-11:41:29.log,x86 fail,
nftables,oe_test_nftables_variable_map,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_variable_map/2023-04-26-11:38:30.log,x86 fail,
